Ticker,MacroSettore,AreaGeografica,Mercato
NVDA,Semiconduttori,USA,Sviluppato
AMD,Semiconduttori,USA,Sviluppato
TSM,Semiconduttori,Taiwan,Emergente
ASML,Semiconduttori,Europa,Sviluppato
AVGO,Semiconduttori,USA,Sviluppato
AAPL,Tech,USA,Sviluppato
MSFT,Tech,USA,Sviluppato
GOOGL,Tech,USA,Sviluppato
AMZN,Tech,USA,Sviluppato
META,Tech,USA,Sviluppato
PLTR,AI,USA,Sviluppato
CRWD,Cybersecurity,USA,Sviluppato
PANW,Cybersecurity,USA,Sviluppato
JPM,Finanza,USA,Sviluppato
V,Finanza,USA,Sviluppato
LLY,Healthcare,USA,Sviluppato
NVO,Healthcare,Europa,Sviluppato
MELI,Ecommerce,America Latina,Emergente
NU,Finanza Digitale,America Latina,Emergente
HDB,Finanza,India,Emergente
``
