Ticker,Nome,Settore,Tipo,Valuta,MarketCap,PE_Trailing,PE_Forward,PEG,PriceToBook,EV_EBITDA,EBITDA,ProfitMargin,ROE,ROA,DebtToEquity,DividendYield,Beta,High52w,Low52w,EPS,RevenueGrowth,LastUpdated
AAPL,Apple Inc.,Technology,EQUITY,USD,4849207869440.0,38.104355,34.703167,2.48,45.14538,29.002,167959003136.0,0.27618998,1.4875101,0.27082002,78.445,0.33,1.085,344.57,229.02,8.72,0.164,2026-09-11 23:59 UTC
ABB,,,,,,,,,,,,,,,,,,,,,,2026-09-11 23:59 UTC
ABBV,AbbVie Inc.,Healthcare,EQUITY,USD,454361186304.0,72.63277,15.794077,0.52,-76.54659,16.74,30762999808.0,0.098000005,,0.105100006,,2.76,0.281,267.47,190.75,3.54,0.102,2026-09-11 23:59 UTC
ADBE,Adobe Inc.,Technology,EQUITY,USD,100261421056.0,14.075335,9.11529,0.62,8.7376585,10.316,9729000448.0,0.28689,0.62953997,0.19926001,61.443,,1.417,370.86,190.12,17.92,0.127,2026-09-11 23:59 UTC
ADI,"Analog Devices, Inc.",Technology,EQUITY,USD,183543709696.0,44.98575,23.185719,0.55,5.4706163,27.501,6922700800.0,0.29787,0.12227,0.06406,27.314,1.22,1.205,445.91,223.47,8.42,0.396,2026-09-11 23:59 UTC
AEP,American Electric Power Company,Utilities,EQUITY,USD,67140530176.0,21.37435,17.98642,1.97,2.0928576,13.44,9029000192.0,0.13781999,0.10130999,0.029790001,160.789,3.08,0.5,140.58,105.7,5.77,0.07,2026-09-11 23:59 UTC
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,EQUITY,USD,33275650048.0,43.324043,19.939894,0.33,24.560987,31.249,1054537984.0,0.16126,0.96555,0.123430006,220.623,,0.3,495.55,197.81,5.74,0.669,2026-09-11 23:59 UTC
AMAT,"Applied Materials, Inc.",Technology,EQUITY,USD,362269278208.0,39.42055,24.735582,0.9,14.136756,35.488,10154999808.0,0.30052,0.41068,0.15482001,28.666,0.47,1.597,739.67,167.18,11.58,0.248,2026-09-11 23:59 UTC
AMD,"Advanced Micro Devices, Inc.",Technology,EQUITY,USD,842569351168.0,131.3308,33.276188,0.49,12.530164,87.192,9562000384.0,0.15577,0.10196,0.05128,6.361,,2.476,584.73,149.85,3.93,0.501,2026-09-11 23:59 UTC
AMGN,Amgen Inc.,Healthcare,EQUITY,USD,204007489536.0,23.437887,15.463422,1.88,17.453747,14.323,17268000768.0,0.22951001,0.91473,0.08667,490.281,2.64,0.426,447.03,269.77,16.1,0.095,2026-09-11 23:59 UTC
AMZN,"Amazon.com, Inc.",Consumer Cyclical,EQUITY,USD,2769709432832.0,20.674719,24.681154,1.48,5.0195484,17.159,168911994880.0,0.1744,0.30558002,0.06589,45.617,,1.443,287.2,196.0,12.42,0.196,2026-09-11 23:59 UTC
ANET,"Arista Networks, Inc.",Technology,EQUITY,USD,251727839232.0,63.16139,38.67813,1.44,17.010994,48.499,4639600128.0,0.38371,0.31476,0.14119,,,1.617,214.89,114.52,3.16,0.377,2026-09-11 23:59 UTC
ARGX,argenx SE,Healthcare,EQUITY,USD,61217021952.0,37.472023,28.522024,1.25,182.84976,951.022,1612902016.0,0.32265,0.23635,0.11635,0.558,,-0.025,1072.75,661.85,26.27,0.593,2026-09-11 23:59 UTC
ARM,Arm Holdings plc,Technology,EQUITY,USD,282795343872.0,267.46466,86.42648,2.17,32.766983,262.661,1063699968.0,0.20247999,0.13352999,0.05415,5.62,,3.89,452.7,100.02,0.99,0.224,2026-09-11 23:59 UTC
