Date,Ticker,Open,High,Low,Close,Volume
2026-07-30,AAPL,333.1,334.75,329.59,333.43,74817800
2026-07-31,AAPL,304.81,310.69,300.0,308.91,132489100
2026-08-03,AAPL,309.3132,311.5313,302.2993,303.1586,75052000
2026-08-04,AAPL,302.4691,310.1525,301.0604,309.1134,68001000
2026-08-05,AAPL,309.0934,311.4414,305.4066,310.732,49438800
2026-08-06,AAPL,314.0691,316.0175,308.9636,312.1408,46139900
2026-08-07,AAPL,311.1816,314.5387,310.4722,313.06,34437200
2026-08-10,AAPL,306.83,308.26,304.61,308.26,44812500
2026-08-11,AAPL,307.75,309.97,302.79,304.91,37476700
2026-08-12,AAPL,305.1,305.66,300.57,302.25,41657800
2026-08-13,AAPL,304.21,306.0,302.05,305.26,40349300
2026-08-14,AAPL,306.0,307.49,304.3,305.93,28229400
2026-08-17,AAPL,306.21,307.66,302.94,305.59,38169300
2026-08-18,AAPL,307.58,311.49,305.74,310.03,53424500
2026-08-19,AAPL,310.14,319.28,309.6,316.83,50505600
2026-08-20,AAPL,317.46,320.28,310.65,311.3,40959200
2026-08-21,AAPL,312.05,312.38,307.01,309.35,46876800
2026-08-24,AAPL,311.47,313.36,309.97,310.34,34673600
2026-08-25,AAPL,310.79,313.59,308.21,309.9,25869800
2026-08-26,AAPL,310.3,315.43,308.8,313.45,34024500
2026-08-27,AAPL,310.55,315.4,309.4,314.58,32364000
2026-08-03,ABBV,251.45,256.2,244.44,245.1,7435600
2026-08-04,ABBV,246.74,246.91,242.39,243.8,8028800
2026-08-05,ABBV,247.0,249.38,243.76,246.2,5193700
2026-08-06,ABBV,249.04,249.95,241.2,243.87,4570200
2026-08-07,ABBV,243.62,246.76,241.95,246.04,4930700
2026-08-10,ABBV,245.65,248.01,244.03,247.97,4209500
2026-08-11,ABBV,248.14,250.77,247.18,250.09,4485200
2026-08-12,ABBV,245.98,250.09,245.52,248.76,3780500
2026-08-13,ABBV,252.94,255.3,249.35,250.82,4370400
2026-08-14,ABBV,250.6,250.61,247.68,249.46,4195000
2026-08-17,ABBV,249.49,251.49,248.31,250.33,4648600
2026-08-18,ABBV,253.93,259.18,252.41,258.92,5010200
2026-08-19,ABBV,261.51,266.97,259.55,265.97,5536000
2026-08-20,ABBV,265.69,265.93,260.48,261.83,5228900
2026-08-21,ABBV,260.7,266.84,260.1,264.96,5157200
2026-08-24,ABBV,263.99,266.04,262.07,264.52,3883600
2026-08-25,ABBV,264.5,266.91,263.03,265.79,3671000
2026-08-26,ABBV,264.6,265.0,260.31,262.9,3305100
2026-08-27,ABBV,260.81,262.5,257.25,258.15,4761900
2026-08-03,ADBE,258.25,262.15,251.17,251.34,4293800
2026-08-04,ADBE,248.67,258.54,245.46,257.49,4203000
2026-08-05,ADBE,260.07,261.01,255.56,259.32,4285500
2026-08-06,ADBE,252.23,260.64,250.84,260.24,4700600
2026-08-07,ADBE,262.82,270.16,261.29,265.21,4752600
2026-08-10,ADBE,263.06,273.13,262.14,272.96,4052600
2026-08-11,ADBE,270.48,272.23,262.68,263.71,4675200
2026-08-12,ADBE,258.45,263.26,255.1,258.75,4191700
2026-08-13,ADBE,261.61,271.88,255.85,270.49,5201600
2026-08-14,ADBE,273.22,273.4,261.67,264.02,2876300
2026-08-17,ADBE,259.9,261.65,251.2,254.04,3871100
2026-08-18,ADBE,259.83,267.39,258.19,263.14,4774100
2026-08-19,ADBE,262.19,275.8,261.67,272.47,5541800
2026-08-20,ADBE,272.73,274.25,269.66,272.22,2631400
2026-08-21,ADBE,272.37,277.1,269.92,275.3,4343100
2026-08-24,ADBE,275.0,279.0,273.25,276.27,3593200
2026-08-25,ADBE,270.76,275.91,269.28,273.92,3137600
2026-08-26,ADBE,265.19,274.6,265.04,273.47,3630300
2026-08-27,ADBE,279.16,291.18,278.37,289.15,6521600
2026-08-03,ADI,363.0,365.73,353.11,361.88,3743100
2026-08-04,ADI,372.39,382.48,368.91,380.29,5082700
2026-08-05,ADI,379.49,384.13,374.64,377.69,2853300
2026-08-06,ADI,375.25,384.4,373.0,377.31,3581300
2026-08-07,ADI,386.73,392.2,385.0,389.93,2837500
2026-08-10,ADI,392.84,394.04,383.83,383.93,2800400
2026-08-11,ADI,389.98,394.16,384.71,385.3,2360900
2026-08-12,ADI,396.22,396.26,383.61,384.43,2764300
2026-08-13,ADI,387.44,389.7,380.51,381.17,2864300
2026-08-14,ADI,381.98,389.45,380.12,389.39,2115600
2026-08-17,ADI,391.54,396.95,389.75,390.28,3122800
